종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","449","-1","-0.22","455","467","425","78878","34908945","28107023289","62599161"
"016250","SGC E&C","KOSDAQ","우량기업부","14450","-20","-0.14","14360","14470","14180","1856","26601550","46869803250","3243585"
"005090","SGC에너지","KOSPI",,"21750","0","0.00","21600","22050","21400","23367","508932675","313402992750","14409333"
"001380","SG글로벌","KOSPI",,"2295","115","5.28","2120","2335","2060","3295843","7310488719","103192708185","44964143"
"004060","SG세계물산","KOSPI",,"310","3","0.98","307","320","305","638711","200860445","62751737600","202424960"
"001770","SHD","KOSPI",,"15010","0","0.00","15010","15010","14940","611","9168680","18235318780","1214878"
"002360","SH에너지화학","KOSPI",,"446","0","0.00","445","452","438","304480","135149663","49565643580","111133730"
"009160","SIMPAC","KOSPI",,"3730","-55","-1.45","3785","3785","3700","18125","67833260","244052094680","65429516"
"033530","SJG세종","KOSPI",,"4065","55","1.37","3950","4145","3915","32459","130598695","113092206465","27820961"
"123700","SJM","KOSPI",,"2910","-15","-0.51","2925","2925","2855","10889","31438165","45410253180","15604898"
"025530","SJM홀딩스","KOSPI",,"3075","-5","-0.16","3090","3090","3050","5859","17933735","45922074600","14934008"
"034730","SK","KOSPI",,"125600","-1000","-0.79","124500","131000","123900","132093","16527320800","9106339496800","72502703"
"357880","SKAI","KOSDAQ","기술성장기업부","1704","5","0.29","1685","1770","1629","310015","527855561","57857648376","33954019"
"011790","SKC","KOSPI",,"101000","0","0.00","99500","105500","98400","289994","29348647350","3824698098000","37868298"
"018670","SK가스","KOSPI",,"242500","-1000","-0.41","243000","246000","238500","5990","1449903000","2241971670000","9245244"
"001740","SK네트웍스","KOSPI",,"4050","-5","-0.12","3970","4065","3950","191030","764897005","896175503100","221277902"
"006120","SK디스커버리","KOSPI",,"40500","850","2.14","38400","40600","38400","45901","1839800300","743088127500","18347855"
"006125","SK디스커버리우","KOSPI",,"32400","-200","-0.61","32600","32600","32050","8523","275263150","42523542000","1312455"
"210980","SK디앤디","KOSPI",,"7870","-150","-1.87","7920","8040","7820","25813","203966735","146518796340","18617382"
"395400","SK리츠","KOSPI",,"4910","-15","-0.30","4955","4955","4890","138522","680152270","1345653395480","274063828"
"302440","SK바이오사이언스","KOSPI",,"39100","650","1.69","37800","39550","37600","108661","4207602050","3063379156300","78347293"
"326030","SK바이오팜","KOSPI",,"101800","-3100","-2.96","103300","105100","101000","110271","11348125750","7972288850000","78313250"
